pid,label,presentation_date,presenter,association,ship_name,search_ship,official_number,mha_date,doc_date,page_no,doc_no
t001,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 1","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-06-18,CA p. 1,1
t002,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 2","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-06-18,CA p. 2,2
t003,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 3","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-06-18,CA p. 3,3
t004,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 4","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-06-18,CA p. 4,4
t005,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 5","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-06-18,CA p. 5,5
t006,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 6","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-06-18,CA p. 6,6
t007,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 7","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-11-16,CA p. 1,7
t008,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 8","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-11-16,CA p. 2,8
t009,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 9","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-11-16,CA p. 3,9
t010,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 10","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-11-16,CA p. 4,10
t011,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 11","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Grace</i>,Sparkling Grace,81538,1896,1896-11-16,CA p. 5,11
