pid,label,presentation_date,presenter,association,ship_name,official_number,mha_date,doc_date,page_no,doc_no,order,layout,collection,thumbnail,full,manifest
t001,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 1","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-06-18,CA p. 1,1,000,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t001/full/250,/0/default.jpg","/img/derivatives/iiif/images/t001/full/1140,/0/default.jpg",/img/derivatives/iiif/t001/manifest.json
t002,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 2","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-06-18,CA p. 2,2,001,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t002/full/250,/0/default.jpg","/img/derivatives/iiif/images/t002/full/1140,/0/default.jpg",/img/derivatives/iiif/t002/manifest.json
t003,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 3","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-06-18,CA p. 3,3,002,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t003/full/250,/0/default.jpg","/img/derivatives/iiif/images/t003/full/1140,/0/default.jpg",/img/derivatives/iiif/t003/manifest.json
t004,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 4","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-06-18,CA p. 4,4,003,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t004/full/250,/0/default.jpg","/img/derivatives/iiif/images/t004/full/1140,/0/default.jpg",/img/derivatives/iiif/t004/manifest.json
t005,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 5","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-06-18,CA p. 5,5,004,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t005/full/250,/0/default.jpg","/img/derivatives/iiif/images/t005/full/1140,/0/default.jpg",/img/derivatives/iiif/t005/manifest.json
t006,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 6","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-06-18,CA p. 6,6,005,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t006/full/250,/0/default.jpg","/img/derivatives/iiif/images/t006/full/1140,/0/default.jpg",/img/derivatives/iiif/t006/manifest.json
t007,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 7","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-11-16,CA p. 1,7,006,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t007/full/250,/0/default.jpg","/img/derivatives/iiif/images/t007/full/1140,/0/default.jpg",/img/derivatives/iiif/t007/manifest.json
t008,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 8","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-11-16,CA p. 2,8,007,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t008/full/250,/0/default.jpg","/img/derivatives/iiif/images/t008/full/1140,/0/default.jpg",/img/derivatives/iiif/t008/manifest.json
t009,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 9","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-11-16,CA p. 3,9,008,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t009/full/250,/0/default.jpg","/img/derivatives/iiif/images/t009/full/1140,/0/default.jpg",/img/derivatives/iiif/t009/manifest.json
t010,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 10","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-11-16,CA p. 4,10,009,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t010/full/250,/0/default.jpg","/img/derivatives/iiif/images/t010/full/1140,/0/default.jpg",/img/derivatives/iiif/t010/manifest.json
t011,"Presentation 3 | <i>Sprarkling Grace</i> | M. Mant, U. Toronto | 11","February 3, 2022",Madeleine Mant,University of Toronto,<i>Sparkling Glance</i>,81538,1896,1896-11-16,CA p. 5,11,010,exploring_crew_agreements_item,exploring_crew_agreements,"/img/derivatives/iiif/images/t011/full/250,/0/default.jpg","/img/derivatives/iiif/images/t011/full/1140,/0/default.jpg",/img/derivatives/iiif/t011/manifest.json
