pid,label,_date,presenter,presentation_date,association,ship_name,official_number,archive,abbreviations
t010,Unknown Crew Agreement 1,,David Bradley,2022-02-03,"Maritime History Archive (MHA), Memorial University of Newfoundland",,,,"MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t020,Presentation Slides,,Jan and Pete Owens,2022-02-03,Crew List Indexing Project (CLIP),,,,"MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t030,"Crew Agreement and Official Log of <i>Sparkling Glance</i> ON 81538, 1896",1896,Madeleine Mant,2022-02-03,University of Toronto,Sparkling Glance,81538,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t040,"Crew Agreement of <i>Bridie</i> ON 48213, 1866",1866,Julia Stryker,2022-02-03,University of Texas,Birdie,48213,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t041,"Crew Agreement of <i>Marion</i> ON 972, 1873",1873,Julia Stryker,2022-02-03,University of Texas,Marion,972,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t050,"Inventory of the Effects of Thomas Howard, Deceased, in the Official Log of <i>Whinfell</i> ON 44157, 1863",1863-12-01,Meaghan Walker,2022-02-17,Memorial University of Newfoundland,Whinfell,44157,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t051,"Entry in the Ryan Premises Journal, 19 November 1863",1863-11-19,Meaghan Walker,2022-02-17,Memorial University of Newfoundland,NA,1.03.001 pg. 302-3,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t060,Unknown Crew Agreement 2,,Matt Ylitalo,2022-02-17,St. Andrews University,,,,"MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t070,Unknown Crew Agreement 3,,Valerie Burton,2022-02-17,Memorial University of Newfoundland,,,,"MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t080,Future Content,,Laura Tabili,Forthcoming,University of Arizona,,,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t081,Future Content,,Naina Manjrekar,Forthcoming,Indian Institute of Technology,,,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
t082,Future Content,,Ravi Ahjua,Forthcoming,Georg-August-University,,,"MHA, St. John's, NL","MHA - Maritime History Archive, University of Newfoundland, St. John's NL; CLIP - Crew List Indexing Project, www.crewlist.org.uk; ON - The permanent Official Number of a ship, used as a finding aid."
